rxte_obsid,source_id,canonical_source,stage,exclusion_reason
90107-01-01-01,v4641_sgr,V4641 Sgr,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
90107-01-02-01,v4641_sgr,V4641 Sgr,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
90107-01-03-00,v4641_sgr,V4641 Sgr,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
90107-01-03-01,v4641_sgr,V4641 Sgr,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
90108-03-01-00,v4641_sgr,V4641 Sgr,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
90108-03-02-00,v4641_sgr,V4641 Sgr,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
90108-03-03-00,v4641_sgr,V4641 Sgr,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
90111-01-03-07,xte_j1118_480,XTE J1118+480,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
90111-01-04-02,xte_j1118_480,XTE J1118+480,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
90111-01-06-01,xte_j1118_480,XTE J1118+480,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
90425-01-03-04,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
91050-05-05-00,1a_1744_361,1A 1744-361,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
91105-04-27-00,gx_339_4,GX 339-4,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
91105-04-70-00,gx_339_4,GX 339-4,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
91414-01-05-00,aql_x_1,Aql X-1,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
91418-01-06-03,sax_j1808_4_3658,SAX J1808.4-3658,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
91422-01-01-02,v4641_sgr,V4641 Sgr,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
91422-01-01-03,v4641_sgr,V4641 Sgr,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
92049-01-61-00,hete_j1900_1_2455,HETE J1900.1-2455,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
92420-01-03-00,sax_j1808_4_3658,SAX J1808.4-3658,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
92427-01-01-00,xte_j1118_480,XTE J1118+480,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93013-07-12-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93013-07-22-02,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93027-01-03-05,sax_j1808_4_3658,SAX J1808.4-3658,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93027-01-05-01,sax_j1808_4_3658,SAX J1808.4-3658,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93027-01-06-06,sax_j1808_4_3658,SAX J1808.4-3658,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93089-20-01-00,ks_1731_260,KS 1731-260,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93155-01-10-00,1a_1744_361,1A 1744-361,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93155-01-10-02,1a_1744_361,1A 1744-361,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93412-01-01-00,mxb_1658_298,MXB 1658-298,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93417-01-09-00,sax_j1808_4_3658,SAX J1808.4-3658,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93417-01-14-01,sax_j1808_4_3658,SAX J1808.4-3658,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93424-01-01-00,gs_1354_64,GS 1354-64,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93435-01-05-01,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93435-01-12-01,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
93435-01-29-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
94408-01-03-01,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
94408-01-11-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
94408-01-18-01,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
94408-01-26-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
94408-01-33-01,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
94408-01-41-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
94408-01-49-01,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
95401-01-11-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
95401-01-25-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
95401-01-40-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
95401-01-55-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
95401-01-70-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
95401-01-86-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
95407-01-01-00,sax_j1808_4_3658,SAX J1808.4-3658,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
95407-01-10-00,sax_j1808_4_3658,SAX J1808.4-3658,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
96027-01-03-13,sax_j1808_4_3658,SAX J1808.4-3658,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
96401-01-06-10,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
96401-01-12-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
96401-01-28-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
96401-01-43-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
96401-01-58-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
96401-01-74-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
96401-01-89-00,igr_j00291_5934,IGR J00291+5934,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
96409-01-14-00,gx_339_4,GX 339-4,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
96440-01-10-05,aql_x_1,Aql X-1,quality_or_source_sufficiency,net_5_25_keV_recorded_rate_not_greater_than_5_count_s_PCU
