alias,source_id,alias_reference,status,notes
HETEJ1900.1-2455,hete_j1900_1_2455,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
HETE J1900.1-2455,hete_j1900_1_2455,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U1705-44,4u_1705_44,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U 1705-44,4u_1705_44,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
MXB1658-298,mxb_1658_298,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
MXB 1658-298,mxb_1658_298,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
X1658-298,mxb_1658_298,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
1A1744-361,1a_1744_361,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
1A 1744-361,1a_1744_361,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
A1744-361,1a_1744_361,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
A1744-36,1a_1744_361,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
X1744-361,1a_1744_361,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
SAXJ1750.8-2900,sax_j1750_8_2900,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
SAX J1750.8-2900,sax_j1750_8_2900,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
KS1731-260,ks_1731_260,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
KS 1731-260,ks_1731_260,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U1636-53,4u_1636_536,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U 1636-536,4u_1636_536,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U1254-690,4u_1254_69,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U 1254-69,4u_1254_69,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
GS1354-64,gs_1354_64,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
GS 1354-64,gs_1354_64,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
GS_1354-644,gs_1354_64,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
X1354-644,gs_1354_64,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
BW Cir,gs_1354_64,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
SERX-1,ser_x_1,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
Ser X-1,ser_x_1,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U1702-429,4u_1702_429,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U 1702-429,4u_1702_429,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U1735-44,4u_1735_444,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U 1735-444,4u_1735_444,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
XTE_J1118+480,xte_j1118_480,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
IGR_J00291+5934,igr_j00291_5934,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_igr_j00291_5934.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_1728-34,4u_1728_34,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1728_34.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
SAX_J1808.4-3658,sax_j1808_4_3658,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_sax_j1808_4_3658.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_1608-522,4u_1608_522,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1608_522.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U1608-522,4u_1608_522,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1608_522.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_1608-52,4u_1608_522,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1608_522.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
SLX_1735-269,slx_1735_269,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_slx_1735_269.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
CYG_X-2,cyg_x_2,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_cyg_x_2.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
SAX_J1819.3-2525,v4641_sgr,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_v4641_sgr.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
V4641_SGR,v4641_sgr,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_v4641_sgr.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
V_4641_SGR,v4641_sgr,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_v4641_sgr.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_1746-37,4u_1746_37,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1746_37.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
GX_339-4,gx_339_4,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_gx_339_4.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
XTE_J1550-564,xte_j1550_564,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1550_564.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
AQL_X-1,aql_x_1,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_aql_x_1.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
AQLX-1,aql_x_1,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_aql_x_1.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
SAX_J1806.5-2215,sax_j1806_5_2215,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_sax_j1806_5_2215.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
XTE_J1859+226,xte_j1859_226,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1859_226.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_0614+091,4u_0614_09,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_0614_09.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_0614+09,4u_0614_09,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_0614_09.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U0614+09,4u_0614_09,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_0614_09.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
SAX_J1810.8-2609,sax_j1810_8_2609,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_sax_j1810_8_2609.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
HETE_J1900.1-2455,hete_j1900_1_2455,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_hete_j1900_1_2455.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_1705-44,4u_1705_44,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1705_44.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
SAX_J1750.8-2900,sax_j1750_8_2900,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_sax_j1750_8_2900.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
KS_1731-260,ks_1731_260,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_ks_1731_260.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_1636-536,4u_1636_536,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1636_536.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_1636-53,4u_1636_536,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1636_536.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U1636-536,4u_1636_536,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1636_536.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_1254-690,4u_1254_69,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1254_69.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_1254-69,4u_1254_69,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1254_69.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
SER_X-1,ser_x_1,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_ser_x_1.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_1702-429,4u_1702_429,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1702_429.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_1735-44,4u_1735_444,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1735_444.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
4U_1735-444,4u_1735_444,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_4u_1735_444.json,verified,Formatting-equivalent reviewed designation with catalog-coordinate agreement.
