rxte_obsid,source_id,canonical_source,archive_target_name,reference_class,class_label,proposal_id,cycle,observation_start,duration,exposure,archive_identifier,mapping_method,mapping_confidence,separation_deg,ra,dec,archive_status,status,query_record,notes
50407-01-02-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51651.20531,8039.0,5037.0,AO5/P50407/50407-01-02-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50133-01-02-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50133,5,51652.51714,5377.0,3156.0,AO5/P50133/50133-01-02-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50133-01-02-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50133,5,51652.59328,14419.0,8537.0,AO5/P50133/50133-01-02-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-02-02,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51652.80786,3683.0,1279.0,AO5/P50407/50407-01-02-02,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-02-03,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51652.89977,5461.0,2217.0,AO5/P50407/50407-01-02-03,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-03-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51655.17202,1861.0,931.0,AO5/P50407/50407-01-03-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-03-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51658.85918,1269.0,867.0,AO5/P50407/50407-01-03-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-03-02,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51661.0859,1849.0,932.0,AO5/P50407/50407-01-03-02,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50133-01-03-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50133,5,51663.14064,10822.0,7253.0,AO5/P50133/50133-01-03-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-04-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51664.34062,2597.0,null,AO5/P50407/50407-01-04-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-04-02,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51665.46752,2970.0,1857.0,AO5/P50407/50407-01-04-02,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-04-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51668.22024,2015.0,999.0,AO5/P50407/50407-01-04-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-05-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51670.94453,1249.0,609.0,AO5/P50407/50407-01-05-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-05-02,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51672.44273,2007.0,833.0,AO5/P50407/50407-01-05-02,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-05-03,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51674.51191,2186.0,1778.0,AO5/P50407/50407-01-05-03,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-05-04,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51675.64037,3227.0,2320.0,AO5/P50407/50407-01-05-04,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-05-05,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51675.7055,4236.0,null,AO5/P50407/50407-01-05-05,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-05-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51675.77535,13921.0,8574.0,AO5/P50407/50407-01-05-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-06-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51679.36499,2110.0,1485.0,AO5/P50407/50407-01-06-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-07-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51683.47612,3730.0,2743.0,AO5/P50407/50407-01-07-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-07-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51686.99915,4116.0,1827.0,AO5/P50407/50407-01-07-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-08-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51691.33984,3001.0,1994.0,AO5/P50407/50407-01-08-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50133-01-04-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50133,5,51692.74363,12418.0,4640.0,AO5/P50133/50133-01-04-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-09-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51699.24541,2331.0,1329.0,AO5/P50407/50407-01-09-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-10-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51706.07863,2971.0,2012.0,AO5/P50407/50407-01-10-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-10-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51710.82006,2961.0,1747.0,AO5/P50407/50407-01-10-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-11-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51715.45293,3180.0,1917.0,AO5/P50407/50407-01-11-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50133-01-05-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50133,5,51719.89793,3972.0,2634.0,AO5/P50133/50133-01-05-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50133-01-05-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50133,5,51719.96681,8395.0,5612.0,AO5/P50133/50133-01-05-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-12-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51723.17097,4984.0,1595.0,AO5/P50407/50407-01-12-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-13-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51729.79824,5428.0,3244.0,AO5/P50407/50407-01-13-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-13-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51730.79477,3394.0,2341.0,AO5/P50407/50407-01-13-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-13-02,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51731.7906,3347.0,2162.0,AO5/P50407/50407-01-13-02,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-14-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51732.85378,3964.0,2106.0,AO5/P50407/50407-01-14-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50133-01-06-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50133,5,51733.78364,3721.0,2046.0,AO5/P50133/50133-01-06-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50133-01-04-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50133,5,51733.84961,4025.0,2106.0,AO5/P50133/50133-01-04-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-14-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51738.69617,3572.0,1722.0,AO5/P50407/50407-01-14-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-15-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51747.7994,3588.0,2204.0,AO5/P50407/50407-01-15-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-14-02,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51750.83586,5926.0,4121.0,AO5/P50407/50407-01-14-02,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-16-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51755.05948,4080.0,3398.0,AO5/P50407/50407-01-16-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-16-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51759.90163,3845.0,2476.0,AO5/P50407/50407-01-16-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-17-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51760.30555,3703.0,2994.0,AO5/P50407/50407-01-17-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-17-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51764.15539,2255.0,1525.0,AO5/P50407/50407-01-17-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90111-01-01-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90111,9,53383.27478,2520.0,636.0,AO9/P90111/90111-01-01-00,explicit_designation_and_independent_catalog_position,high,0.03283511367935565,169.5,48.05,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53384.14148,1739.0,927.0,AO9/P90011/90011-01-01-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53384.96541,4163.0,3212.0,AO9/P90011/90011-01-01-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-07,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53385.63927,3575.0,1491.0,AO9/P90011/90011-01-01-07,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-02,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53385.81358,4620.0,3651.0,AO9/P90011/90011-01-01-02,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-08,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53386.34297,4060.0,1513.0,AO9/P90011/90011-01-01-08,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-03,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53386.79844,4488.0,3685.0,AO9/P90011/90011-01-01-03,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-09,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53387.19218,3297.0,1652.0,AO9/P90011/90011-01-01-09,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-04,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53387.78124,4593.0,3718.0,AO9/P90011/90011-01-01-04,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-10,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53388.56773,5258.0,3176.0,AO9/P90011/90011-01-01-10,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-05,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53388.76516,4443.0,3557.0,AO9/P90011/90011-01-01-05,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-11,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53389.12675,1680.0,772.0,AO9/P90011/90011-01-01-11,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-12,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53389.56593,3303.0,1746.0,AO9/P90011/90011-01-01-12,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-13,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53390.08096,2735.0,887.0,AO9/P90011/90011-01-01-13,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90011-01-01-06,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90011,9,53390.48368,3164.0,1438.0,AO9/P90011/90011-01-01-06,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
90111-01-02-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,90111,9,53391.05714,2863.0,1283.0,AO9/P90111/90111-01-02-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
