source_id,source_name,compact_object_class,n_observations,label_reference,label_status,notes
4u_1746_37,4U 1746-37,NS,17,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABDG, 37 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
aql_x_1,Aql X-1,NS,29,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABDIORT, 96 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
cyg_x_2,Cyg X-2,NS,28,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BZR, 70 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
gs_1354_64,GS 1354-64,BH,7,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv.
gx_339_4,GX 339-4,BH,22,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
hete_j1900_1_2455,HETE J1900.1-2455,NS,30,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BOIT, 10 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
igr_j00291_5934,IGR J00291+5934,NS,5,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BPT, 0 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
ks_1731_260,KS 1731-260,NS,25,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BOST, 366 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
mxb_1658_298,MXB 1658-298,NS,25,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BDEOT, 27 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv."
sax_j1750_8_2900,SAX J1750.8-2900,NS,32,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type A?BOT, 24 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
sax_j1806_5_2215,SAX J1806.5-2215,NS,32,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type TB, 9 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
sax_j1808_4_3658,SAX J1808.4-3658,NS,14,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BOPRT, 12 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
sax_j1810_8_2609,SAX J1810.8-2609,NS,31,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type TBO, 16 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
ser_x_1,Ser X-1,NS,17,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BARS, 55 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
slx_1735_269,SLX 1735-269,NS,28,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BSC, 23 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
v4641_sgr,V4641 Sgr,BH,5,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
xte_j1118_480,XTE J1118+480,BH,22,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
xte_j1550_564,XTE J1550-564,BH,27,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
xte_j1859_226,XTE J1859+226,BH,23,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
