reference_source_name,canonical_source_name,source_id,aliases,reference_class,class_label,classification_status,classification_reference,reference_observation_count,identity_status,ra_deg,dec_deg,notes
XTEJ1859+226,XTE J1859+226,xte_j1859_226,XTEJ1859+226|XTE J1859+226,BH,BH,VERIFIED,https://arxiv.org/abs/1510.08869,125,VERIFIED,284.67325,22.658166666666666,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
IGRJ17497-2821,,,,NS,UNRESOLVED,UNRESOLVED,,13,UNRESOLVED,,,Published NS label conflicts with BlackCAT BH-candidate listing; excluded pending classification review.
4U0614+091,4U 0614+09,4u_0614_09,4U0614+091|4U 0614+09,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,498,ALIAS_VERIFIED,94.28062,9.137067,"MINBAR source catalog: type ABRSC, 2 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
SAXJ1810.8-2609,SAX J1810.8-2609,sax_j1810_8_2609,SAXJ1810.8-2609|SAX J1810.8-2609,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,36,VERIFIED,272.6853,-26.150333,"MINBAR source catalog: type TBO, 16 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
XTEJ1817-330,,,,BH,UNRESOLVED,UNRESOLVED,,157,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
HETEJ1900.1-2455,HETE J1900.1-2455,hete_j1900_1_2455,HETEJ1900.1-2455|HETE J1900.1-2455,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,351,VERIFIED,285.0407,-24.901194,"MINBAR source catalog: type BOIT, 10 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
GROJ1655-40,,,,BH,UNRESOLVED,UNRESOLVED,,546,UNRESOLVED,,,No sufficiently secure identity and classification evidence adopted in this reconstruction.
4U1705-44,4U 1705-44,4u_1705_44,4U1705-44|4U 1705-44,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,512,VERIFIED,257.22696,-44.102043,"MINBAR source catalog: type BAR, 267 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
MXB1658-298,MXB 1658-298,mxb_1658_298,MXB1658-298|MXB 1658-298|X1658-298,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,73,VERIFIED,255.5272,-29.945646,"MINBAR source catalog: type BDEOT, 27 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv."
1A1744-361,1A 1744-361,1a_1744_361,1A1744-361|1A 1744-361|A1744-361|A1744-36|X1744-361,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,49,VERIFIED,267.05478,-36.132507,"MINBAR source catalog: type TA?BDR, 4 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv."
4U1724-307,,,,NS,UNRESOLVED,UNRESOLVED,,127,UNRESOLVED,,,No sufficiently secure identity and classification evidence adopted in this reconstruction.
SAXJ1750.8-2900,SAX J1750.8-2900,sax_j1750_8_2900,SAXJ1750.8-2900|SAX J1750.8-2900,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,131,VERIFIED,267.60175,-29.03761,"MINBAR source catalog: type A?BOT, 24 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
KS1731-260,KS 1731-260,ks_1731_260,KS1731-260|KS 1731-260,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,75,VERIFIED,263.5561,-26.0885,"MINBAR source catalog: type BOST, 366 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4U1636-53,4U 1636-536,4u_1636_536,4U1636-53|4U 1636-536,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,1563,ALIAS_VERIFIED,250.23154,-53.751446,"MINBAR source catalog: type ABOS, 664 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4U1254-690,4U 1254-69,4u_1254_69,4U1254-690|4U 1254-69,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,100,ALIAS_VERIFIED,194.4048,-69.28917,"MINBAR source catalog: type BDS, 34 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
V4641SGR,V4641 Sgr,v4641_sgr,V4641SGR|V4641 Sgr|SAX J1819.3-2525,BH,BH,VERIFIED,https://arxiv.org/abs/1510.08869,7,ALIAS_VERIFIED,274.8399166666666,-25.406972222222223,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
XTEJ1755-324,,,,BH,UNRESOLVED,UNRESOLVED,,10,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
XTEJ2012+381,,,,BH,UNRESOLVED,UNRESOLVED,,26,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
GS1354-64,GS 1354-64,gs_1354_64,GS1354-64|GS 1354-64|GS_1354-644|X1354-644|BW Cir,BH,BH,VERIFIED,https://arxiv.org/abs/1510.08869,11,VERIFIED,209.54041666666666,-64.73494444444445,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv.
XTEJ1818-245,,,,BH,UNRESOLVED,UNRESOLVED,,56,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
SERX-1,Ser X-1,ser_x_1,SERX-1|Ser X-1,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,102,VERIFIED,279.9898,5.035972,"MINBAR source catalog: type BARS, 55 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4U1702-429,4U 1702-429,4u_1702_429,4U1702-429|4U 1702-429,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,225,VERIFIED,256.5638,-43.035748,"MINBAR source catalog: type ABO, 284 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
GRS1739-278,,,,BH,UNRESOLVED,UNRESOLVED,,11,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
4U1735-44,4U 1735-444,4u_1735_444,4U1735-44|4U 1735-444,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,222,ALIAS_VERIFIED,264.7429,-44.45,"MINBAR source catalog: type ABR?S, 71 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
