path,size_bytes,sha256,phase,category,generated_or_source,scientific_role
configs/state_regime_mapping.yaml,1534,ad33e70ac571ee9711512572f0980cbde34e77341354c8f4bae933361f4345bf,I,configs,source,protocol or configuration
configs/state_validation/environment.json,220,5782c8473b29536cc5cc52c86958df43977776c9c69078c086f16d3adfcf4947,I,configs,source,protocol or configuration
configs/state_validation_protocol_frozen.sha256,65,2dbb50d48be6a6a4753ebbc96cec721f69cc7e6a2c7f1073f69eea3325f2b03b,I,configs,source,protocol or configuration
configs/state_validation_protocol_frozen.yaml,3992,06f2e80bf1cb3c9e68cfcf3b28a09eadc9443d6c4a4efdc9efc44ef13cd11341,I,configs,source,protocol or configuration
configs/validation_heasoft_comparison_addendum.sha256,65,e3aa4d978d341c70c159969b17aac2e3d1867ec904a1c29c21b3fb508299f5ea,I,configs,source,protocol or configuration
configs/validation_heasoft_comparison_addendum.yaml,661,aca5a86304d660afc474b6f2e51d61950c86465defade70cd287d446e50c0d5f,I,configs,source,protocol or configuration
configs/validation_heasoft_protocol.sha256,65,f5e5f8affb68c450bbadfa2869c59e0e51883f3c9438dead96a957c071e6d0e7,I,configs,source,protocol or configuration
configs/validation_heasoft_protocol.yaml,5283,e5a788be37bdb9a23ca0139074541663b07dc038a0bb6cad4f5ebf8370ab05cd,I,configs,source,protocol or configuration
cross_mission/DEVELOPMENT.md,4389,bf85d0e855b36fd80d28505dce8dd0266a3470ca9c658ca5c7be8479580ffaee,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/README.md,965,dc33604d6290eabaa817b0294ecf7569d425a0c85f493153ec8c789a1f09ce08,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/configs/cross_mission_protocol.yaml,11056,0991965b1c313a2703b02143aeb7221ab1ec102cf3cc11b9de84421529d8c542,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/configs/nustar_env.sh,818,b71fd0e5b3019a1d1a358167d501efe23acac31d1ec4d05dcf183bbb0b61982c,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/configs/pilot_screening_exceptions.json,990,0e7546cd3550e1992b643d7209a2e35348a50e2d9ecb26553f940f4034ceaadd,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/configs/protocol_design_lock.json,247,895da575c608a777ba31a46925c1f7021dcaeb0d1a72945fc06ecfdee3c7206e,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/data/manifests/download_10601308002.json,17481,6036dd696061d82c48f26473c268d9031586427440ebb4cbec2d33364bb7ea81,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/data/manifests/download_30363002002.json,17585,0f7e47268dd8390d9115158eaf79467e3e94275f57c672a560c931f2386fe7e1,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/data/manifests/nustar_calibration_manifest.csv,3752,bfbc36d066b8d1cf88853f212ec801f3b3828a7b1c380f6f1bbb69435076203e,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/data/manifests/nustar_inventory.csv,451117,3e10cedef0b9d448fbef1b5a66f093fa9d698d662855f3d110f2912f1008bbf8,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/data/manifests/nustar_pilot_regions.csv,3023,5e985163d434ed322b4cf078f7d9a016782f7337a61b939315e6b7c742d43d33,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/data/manifests/nustar_regions.csv,1904,8c974e153eaaf59bd73efda5854356e5de58276f1a7da0e8ff7f49cfb50d83e9,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/data/manifests/prospective_cross_mission_folds.json,35368,2726d844d259fd82b6ab12466bcf6f1a93f683de1f13b94f4be9921b12cbb6f8,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/data/manifests/prospective_identity_rows.csv,14474,5a53579825b92b142d23153aab39cae1609740148cdef98be10227c9a06255e8,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/data/manifests/rxte_readonly_spectral_inputs.csv,108962,32cbcea954ab38cf10ca5500b651946a45329a4e0ee904af43c30df2b79042cc,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/data/reference/nustar_source_registry.csv,70692,b675662575d57f3a31a64dba81ec679a7b0391e038e40c4143695b034cb0c395,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/reports/common_representation_design.md,5537,b62624cad8c9aaf2b6c92bdc026b5c2c5a861a47f9c850b7326f66a8e494bfd5,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/reports/common_representation_validation.md,1127,7c73519b3e69e58203f6ad45d395b5f8a62397fcc98906adc74012aec7b20110,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/reports/fpma_fpmb_pilot_consistency.md,2061,c8df3f938cd546446d4b94f34f157cecf05284306a50ad5a7f38b1a8c6468239,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/reports/gate_status.md,2705,ac9a31ebfb66c2c52daf9403d9665603a879d0b0b0e890ba096a93d9371ba556,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/reports/gate_x1_report.json,20435,b3674002c369bdc92a05e3063e5cdaaa59c9887f8871f9014dabaef547bd1634,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/reports/gate_x1_report.md,2242,fecdcb44c21e2bccfb615989e42572effd7825baa1f4d0e66e99bdcb077592bb,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/reports/nustar_feasibility.md,5178,17b24798055f1af919e58070d6e2d935e622288fe91a8910d6455b61b6be22f1,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/reports/nustar_pilot_region_validation.md,5203,014d2ec94a0d02f4ae2b804279bb480238ac60273d10fc5d4c4348de186edf7f,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/reports/nustar_pilot_region_visual_audit.md,3325,3006460714d8ddc4317bcbb157595c8109c0a4a60b802bcab4bc3fe51bfee4f5,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/reports/region_review/proposals.json,6137,cdb974c5048efead293d82ac609f1dfaba281f8be31330669f635fe5af0b8778,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/reports/x1_bright_screening_addendum.md,1686,65b95e449c0356ed1cc5187660a57bb903d0913edfd8568700d5321c34730867,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/reports/x2_module_combination_decision_needed.md,1790,41b74a597ce4e5d5b40a37a0ed8eb70bcd00cfc3cc7d3fe811e562941352c2f7,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/reports/x2_pilot_measurement_validation.md,8031,ab128ead35cfbe0c91a5792855659c86f2f8322915807b035d8fdd73c6f0991e,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/results/census_summary.json,270,3cf77ebcca35cf1f92aaa10c473540730a2ea42385bbdb4c12e0529a46c2b347,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/results/x1_pilot/bright_geometry.json,2575,4a968e26e16d27d5478b8aff0d07d0c485dbb135629035ec96975d34c08e69ff,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/results/x1_pilot/product_pairing_audit.csv,1970,8ed04b3b19fc8d069290018478d27bb8adf9ba7604bd4fd150e452dea9bafda1,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/results/x1_pilot/region_geometry.json,5694,febb461871aaf1cd03a84ef62e76cd9a6218f91fa10519bb49d2c1d4bf8b1ec7,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/results/x1_pilot/response_audit.csv,1339,7c10a1afec2803dc5c3fadadcafb163036b53cacf52bad022a15dd80c021670c,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/results/x2_pilot/fpma_fpmb_feature_comparison.csv,6934,e2bddfdb87ba2503bbea495e40e2c360f307946ccde1a31769d3896e012de840,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/results/x2_pilot/measurement_validation.json,90374,bb6a5bd46b3e8ff56fc95f1900e5382350cefddaa6c7cce4d023d7f4e2632899,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/results/x2_pilot/monte_carlo_precision_addendum.json,222,ab7150df6a4fd2b4c98894bc28b05d5e52d6378565f28fe10ad2ff66cd5026c6,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/results/x2_pilot/pilot_features.csv,3221,53d919d7f611fb4a6f1c604dd640672644adf5bbea8499e214fc8ee88e02b873,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/results/x2_pilot/pilot_settings.json,788,c3b4012c185e77f8ff08f0baae149906ffb8a68ae0e966169e01607c2da55b7e,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/src/acquire_observation.py,2364,1dcd72160a12f36a2033abd460effdf472267054832f3bc0ab52e4a9ec4c66a3,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/src/acquire_reference.py,1442,f96976f1acc8ef05bbbac7166a48be5b7f5e1e4e7769924a3b99bc4fa3bbd332,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/src/cache_caldb.py,1600,04029e4faffeee8ebadffd93992d444c20101e530ac2672cf611cf9881dcdae2,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/src/census.py,12973,e3a83801d6a491130e9d71e7786e4137fc3bd308e1df6597c2dbbc805a8e85b9,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/src/contracts.py,10289,720e65e0b1c7215baad39e929a5b73d3fefa92583d5affa37da29b46b9cd608a,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/src/evidence.py,3193,93048db1c057459de387c8014c845d3e59aeb3d49657c2a9946eae26178ccf1e,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/src/paths.py,1277,ef145286b3644ac80c07ad1d3b45af2decd27337a42a72cbb46f176e2a8fb1d2,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/src/pilot_regions.py,3615,fde6c3657ae5a200d4131a0c9f138261e5a34824b2afd721469456452c8bcd5b,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/src/prospective_folds.py,1672,47ca69bd439b14a597ae0a643cc7013180f2d0eeccf38e0da54a42c68acc9049,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/src/run_pipeline.py,3016,3344595aaa705c384faf7edbf8f392f600e82744f37897ac07f6120d2e272fdf,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/src/x1_bright_exposure.py,1745,788178b722e31f9179feab94d5b12e46678a881d418733355aa1c4ba9f179420,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/src/x1_bright_geometry.py,4992,d2df7f60393724010d444d4b97cf9fc929713a3abe742a5231afe46b102e24b6,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/src/x1_bright_reduction.py,3838,b4c934e9116cd276957ff549599587d372656edb7916311179d986d438e69de3,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/src/x1_local_products.py,2403,8134ad5c1b509f5d3257ea0919e4035390513eec834328fbce69449f40f44a77,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/src/x1_region_audit.py,4070,96c2aa4ce7f0492e1310aadd64afc9bcb12793038fb005335258a681f3121441,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/src/x1_run_tasks.py,3191,7f00cc89e6b254476c8dfc15e9d2f87563d8ae88234d179046c9c93b772fcc45,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/src/x1_validation.py,8422,71421e885fa17555beefc9e50b04050ba4e8fd34c68d0d205279b4ff01b0fa96,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/src/x2_measurement.py,9338,e12eaf04e30ffab649358659c97ba511a999890a7684248477f9bac58f8f9612,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/src/x2_refine_diagnostics.py,3986,8179acf65f39f8fd0009e48ca78ccc797aeb849adddf59238c289882912b591e,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/src/x2_run_pilot.py,7089,18cfe30b0d4cda62953a9c7c58129c38b5ac3273e40800b7fcf9181796e6f478,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/tests/test_contracts.py,9679,522d4613f66f9a3b02fbe8a639bb338016b2ecdebd371493327e1d74ced29de8,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/tests/test_evidence.py,729,397d777e3038722db098051378c8ff6b210abd6e7f0bdf4d9416949f0d2e4534,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/tests/test_release_paths.py,1601,00e1d3c59a3857f0cc1393b77482dad792c48cf7445baffb029e7f8dc5086d19,II,cross_mission,generated_or_adapted,unfinished separate cross-mission study
cross_mission/tests/test_x1_validation.py,4822,642af0dda6b430c23518fec88d01d87c452666fdc56495c4eb6c8945a634288b,II,cross_mission,source,unfinished separate cross-mission study
cross_mission/tests/test_x2_measurement.py,2755,e7b18babde8d3779ccebb8cfdacb412bb5d3b063b78e3da1e8d38f6bd77eb947,II,cross_mission,source,unfinished separate cross-mission study
data/README.md,1888,fce445039de8b4a5bb4a6fc55c8e1729a741fa25bff55ea5ab2dce003f2ac7b7,I,data,generated_or_adapted,"tabular cohort, source identity or acquisition provenance"
data/manifests/dataset_provenance.yaml,529,63e2e6c61a072419fb2506d7b41d2684d8098b5e24f798a76249ba030eb6ea63,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/manifests/energy_grids.json,154,1506a1155889a3c7f89b129c31b0140da9312444170de72d06d1159fde112a5f,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/manifests/excluded_observations.csv,21235,2396d413c8e5b46525826196082432ae4adc66070680ced993b375b33ad9b2a0,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/manifests/label_provenance.csv,6610,b504ea5268194ff82ecc6f15c0c994a0a0bab7ab01451266d370be138dc97d7a,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/manifests/observation_manifest.csv,265244,d8c60665449a3bf80de33f506961d7d151773ec418d23c042c78fd0bdbf4d424,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/manifests/pm_feature_definitions.json,169,a1df07cfb4aa2848c48bad585dd45f0a2d79022621387fc8655a7d7305d0bfe0,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/manifests/primary_split_definitions.json,1230680,4fcb80f82586a131fb3e6778e52bdaf1690f87d9f4a632b0771d490d451e2f2a,I,data,generated_or_adapted,"tabular cohort, source identity or acquisition provenance"
data/manifests/rxte_acquisition_selection.csv,354663,c407e2a4027d066c6a8feda6eae9a1fadd90fef39b1e56d5783c56c760d61c9f,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/manifests/rxte_observation_inventory.csv,4827378,38e0c16e0312b24fc8c38bae72d798558384ef4fa732de372d8840d1be486984,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/manifests/source_aliases.csv,19951,172d547ce410659ff6f068ee82a8a187775657885541057b5a1a02be5aee64e2,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/manifests/source_manifest.csv,6709,7eb03ea81178205c6bef2b825d9aca7604b9fa8a2d2c7e6bc6080ae43ced4ed7,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/manifests/source_registry.csv,15163,fa476c8ab983dcf73c9d8b5b9ca768c66ca1f1d8a6ce5357f26819ebf9ee3d21,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/processed/energy_grid_metadata.csv,251998,e9de02730bb68e2e05bb957c71c210061e1d953c8244bdd84a8be53c128005a2,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/processed/observations.csv,1739043,9526c3327502907fa50655a5749b206ba1eda903f16fb45fa13e2665d06fb7f8,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/processed/validation_heasoft/excluded_observations.csv,6751,5d80c27c2fd31bbd7a40f94db92d44830e70283226d39f429c1bb7b4ffcaf470,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/processed/validation_heasoft/expanded_selection.csv,3999,1e0c12046d172e3e3cdcefc0d483ab443b3f1b64fc3b32f9196681fb3b814386,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/processed/validation_heasoft/expanded_source_observations.csv,499876,c40651ef414f3202530e09b0f7b911ee2fae7a51730b08e72d1f867f4eaa4cfb,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/processed/validation_heasoft/heasoft_matched_observations.csv,472294,ce483a41ae2876e301f66278f251ddf0c2dfce59482f047e5619cd678ea02d80,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/processed/validation_heasoft/heasoft_validation_observations.csv,486085,3af35b8e314a832ed29d088d9e4cf09cb6e3484b444eeddb51145109d80c8ce0,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/processed/validation_heasoft/matched_observations.csv,1231417,566bbb6d71c6815836441df85d9d525062fe65a43b9cc4c81bb96e2e206c49c1,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/processed/validation_heasoft/preselected_observations.csv,14247,a026e05f745c5591e6482cdf59b109b312e8b5d83b3c912d15bd112b490a3abf,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/provenance/external_sources.csv,10182,80b89d52d8176a40fcf946e94d1e7df227257061bb28a4f39957ab2869918574,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/provenance/observation_provenance.csv,806922,ea5a57b303b26168452aab4008c5325638daf0d4084fc8f3c3aa6db4b4006297,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/provenance/published_source_roster.csv,3583,67f5842576be5fe79e6c4f10199024123a36656bed55f1f506b35d83512d69d8,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/provenance/reduction_environment.json,377,629d1745d1dd714f832bf1387d82b936b379b9d341e261b5418b4981b29f184a,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/provenance/rxte_download_manifest.csv,2407031,a3f8dcbc1810a5ba8aad655977bfd45341f2ad1512594e7826853a8555b1d63d,I,data,source,"tabular cohort, source identity or acquisition provenance"
data/reference/reference_source_roster.csv,14654,0877b4b26ce2b7a608c60b9af804f37a4bcff07cab9e40a932c0da93d0ed3211,I,data,source,"tabular cohort, source identity or acquisition provenance"
docs/data_provenance.md,1797,7301db9bf600acc0b1a423b9c4723a6cb1e413217d2f6e4498cd6080b0de07b6,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/derived_artifacts.json,20284,cd29f9e0c8b5583bf8af6688c07df46d5a8d00911d42eaab6b4bd359c2eb4f5d,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/limitations.md,1250,9124200987b151f6c98461eabf64739bbb6ab2effaf5ce9e5aed86310bdb0319,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/methodology.md,3379,c9c53c58fdbe50fbf259711953d9e3cd102fb742d467ec8e6e3ddf81899399a7,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/phase2_status.md,1197,2664443b6888915569767883d9e325c6695fbb33582fd681042044c223e97248,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/release/final_pre_push_audit.md,1372,43e3ed6d205a2510060061a2367d7d4475ecea4098300f3477025528870d1fbb,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/release/final_pre_push_report.md,4894,82ae3db8a3d3342f2b661d8d463a732a8d729b34b54232f4a62053d02b99492c,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/release/phase1_release_audit.md,1657,31eae7eff89a216fa10422c245fb2c6c0058c71ea4ce24feba3852d73c1267c1,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/release/release_preparation_audit.md,1941,7f41cae8d6a211de3a1af173a6bb556a8eed02c941eae662e79a9ec969b58a0b,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/release/security_audit.md,1684,58fcea3120a2e3f3278ba01143cf2e50201f535d9fe7976fe686bc3c5d5e009c,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/release_provenance.csv,86380,dc9ff7396c4c02da187b1847b0d929628c3af9f97479078d949a2e5337efc816,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/reproducibility.md,4509,db29bb18077ad4a2c6d3c7d8bb2729853c514a7f97c8dbea55b718380b9853a8,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/scientific_overview.md,2545,90105d3f35d02050f53da630bf0638393fb6eb9990e66c0db2eab1d143493520,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/validation_record.md,2903,724d4eebf2e8feb5afdb3777b546c68dd6b7a4567f236980e7141e4cf06239c5,shared,docs,generated_or_adapted,scientific and reproduction guidance
docs/workspace_exclusions.json,887,f92f70b6bec2d4e6ceb768b215b474b57f63a1170afe90104dab3f13878e4fe3,shared,docs,generated_or_adapted,scientific and reproduction guidance
manuscript/AUTHOR_TODOS.md,2676,434679e30b80810471366f987f234f76c0577c6989571c7c7cb59d646ed13c41,I,manuscript,source,publication source or artifact
manuscript/README.md,1548,67f1b7dc6019a45e003f9ce75f8f03bf91eaf41a11212d5173dd4abd3e58e4e1,I,manuscript,generated_or_adapted,publication source or artifact
manuscript/build.sh,1197,00abd62d0fe4a205a85ab4180390a58f085dd8dece1a3d9b7bb8814933be0acc,I,manuscript,generated_or_adapted,publication source or artifact
manuscript/figures/figure_1_design.pdf,48094,608dffc0ae744ed1eb1a77833dd170d8f422242a331d4844b33aa3658f2d8072,I,manuscript,source,publication source or artifact
manuscript/figures/figure_2_primary.pdf,29132,ca4544ef0bc7feb2992ea67e2af28cad464e96cedc1cce31538eca5c4e72659a,I,manuscript,source,publication source or artifact
manuscript/figures/figure_3_randomization.pdf,49451,80712c39424c93f4f3be76f2ca907a927609686d496f4c3661be82270d328a01,I,manuscript,source,publication source or artifact
manuscript/figures/figure_4_validation.pdf,22775,d3371f6d171a50919c18c05a7fbd976dc8c626d869e32e2752fcff6db8e6d177,I,manuscript,source,publication source or artifact
manuscript/figures/figure_5_expanded.pdf,34744,4ef3262e094cde4cdcc14eef22963a0bb716c5a070e75720a438da233bfc6735,I,manuscript,source,publication source or artifact
manuscript/figures/figure_6_state.pdf,41918,71d94cb8d55da98036472d49633ba298c8a38579ec4d0b1969dc1cd8ba76cc65,I,manuscript,source,publication source or artifact
manuscript/main.pdf,467999,450784dc62b01f45c02b18003847c6f3ffc1fe7b185c1076122a6dbdcb398432,I,manuscript,generated_or_adapted,publication source or artifact
manuscript/main.tex,72097,c3a733f54f98543eb424e67617bc6c57ede5cac50910adf68f4c036ad4b28a11,I,manuscript,generated_or_adapted,publication source or artifact
manuscript/mnras.bst,43376,8dd7405398edf44e97c055b1e5b9b5ba1420102f1315dbf22d23c06f0d56f314,I,manuscript,source,publication source or artifact
manuscript/mnras.cls,62657,43403d42440caa704a0b6631acd5ae01524869e124450a0449646fc07f4c1152,I,manuscript,source,publication source or artifact
manuscript/references.bib,16391,eed5793950102ebb3756184acea6011dabc81d4c20370ea94110d09bb1ba7e70,I,manuscript,source,publication source or artifact
manuscript/supplement/figures/figure_S1_calibration.pdf,52054,8d1b98c8254d29b628e9d01b655205991a76b18ff59791745bd62107c70b979c,I,manuscript,source,publication source or artifact
manuscript/supplement/supplement.pdf,206585,14203cdb9e5164d9854a1863214126536b4d0cf9e5ad9a0cee0524ae04c164c6,I,manuscript,generated_or_adapted,publication source or artifact
manuscript/supplement/supplement.tex,17946,fdb13ac7106a84301a15de66ea0bf89de64618a087974de3f810661c979e6a8f,I,manuscript,generated_or_adapted,publication source or artifact
manuscript/supplement/tables/S1_cohort_census.csv,296,9263a68198d8059013bcdfcbc6a356e9f74dee46e6ceb77e59229f37c07ed80c,I,manuscript,source,publication source or artifact
manuscript/supplement/tables/S1_excluded_observations.csv,21235,2396d413c8e5b46525826196082432ae4adc66070680ced993b375b33ad9b2a0,I,manuscript,source,publication source or artifact
manuscript/supplement/tables/S1_label_provenance.csv,6610,b504ea5268194ff82ecc6f15c0c994a0a0bab7ab01451266d370be138dc97d7a,I,manuscript,source,publication source or artifact
manuscript/supplement/tables/S1_reference_roster.csv,14654,0877b4b26ce2b7a608c60b9af804f37a4bcff07cab9e40a932c0da93d0ed3211,I,manuscript,source,publication source or artifact
manuscript/supplement/tables/S1_selected_obsids.csv,289455,0c7abf79845b5826c3786fc01b6d01c6b5838715a60763f7d016005960122011,I,manuscript,source,publication source or artifact
manuscript/supplement/tables/S1_source_aliases.csv,17215,0722bf7b921892cda6ba646bb53e367de97069425bf9175c7f2d89a003b75248,I,manuscript,source,publication source or artifact
manuscript/supplement/tables/S1_source_registry.csv,15163,fa476c8ab983dcf73c9d8b5b9ca768c66ca1f1d8a6ce5357f26819ebf9ee3d21,I,manuscript,source,publication source or artifact
