canonical_source,aliases,class_label,classification_evidence,classification_reference,nustar_obsids,rxte_available,current_phase1_membership,identity_status,usable_status,notes,source_id,ra_deg,dec_deg,coordinate_reference,secure_label,field_review_required,public_candidate_observations
LMC X-1,LMC X-1|LMC X1,BH,Dynamical mass 10.91 +/- 1.41 Msun (Orosz et al. 2009).,https://arxiv.org/abs/0810.3447,30001143002|30201029001|30201029002|90801324002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Primary dynamical paper verified independently of NuSTAR spectra; source beyond Phase I.,lmc_x_1,84.91178512686,-69.74320320934,SIMBAD TAP identity/astrometry snapshot new_bh_astrometry.csv,True,False,4
LMC X-3,LMC X-3|LMC X3,BH,Dynamical mass 6.98 +/- 0.56 Msun (Orosz et al. 2014).,https://arxiv.org/abs/1402.0085,10601308001|10601308002|10601308003|10601308004|30101052002|30402035002|30402035004|30402035006|30402035007|30402035008|30802016002|30802016004|30802016006|30802016008|30902041002|30902041003|30902041004|30902041005|30902041006|31002032001|31002032002|31002032004|31002032006,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PILOT_CLEAN_EVENTS_PRODUCTS_PENDING_NOT_QUALITY_ACCEPTED,Primary dynamical paper verified independently of NuSTAR spectra; source beyond Phase I.,lmc_x_3,84.73596816896,-64.08425498264,SIMBAD TAP identity/astrometry snapshot new_bh_astrometry.csv,True,False,23
MAXI J1820+070,MAXI J1820+070|ASASSN-18ey|MAXI_J1820p070,BH,Donor radial-velocity mass function 5.18 +/- 0.15 Msun (Torres et al. 2019).,https://arxiv.org/abs/1907.00938,90401309002|90401309004|90401309006|90401309008|90401309010|90401309012|90401309013|90401309014|90401309016|90401309018|90401309019|90401309021|90401309025|90401309026|90401309027|90401309029|90401309031|90401309033|90401309035|90401309037|90401309039|90401324002|90501311002|90501320002|90501337002|90501337004,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Primary dynamical paper verified independently of NuSTAR spectra; source beyond Phase I.,maxi_j1820_070,275.09142659019994,7.1853569054,SIMBAD TAP identity/astrometry snapshot new_bh_astrometry.csv,True,False,26
V404 Cyg,V404 Cyg|V404CYG|GS2023+338|GS 2023+338,BH,"Dynamically confirmed BH, 6.08 Msun mass function; position and aliases in BlackCAT. RXTE mission preceded 2015 outburst; no assumption that quiescent spectra pass rate cut.",https://academic.oup.com/mnras/article/394/3/1440/1069184,30001010003|30001010005|90102007002|90102007003|90102007005|90102007009|90102007011|90102007013|90102007015,VERIFIED_ARCHIVE_INVENTORY,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,v404_cyg,306.0159166666666,33.86719444444444,https://academic.oup.com/mnras/article/394/3/1440/1069184,True,False,9
V4641 Sgr,SAXJ1819.3-2525|V4641 Sgr|SAX J1819.3-2525,BH,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.,https://arxiv.org/abs/1510.08869,80002012004|90102011002,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,v4641_sgr,274.8399166666666,-25.406972222222223,https://arxiv.org/abs/1510.08869,True,False,2
XTE J1118+480,XTEJ1118+480|XTE J1118+480,BH,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.,https://arxiv.org/abs/1510.08869,,VERIFIED_PHASE1_PRODUCTS,True,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Inherited secure evidence; NuSTAR identity independently audited.,xte_j1118_480,169.54495833333334,48.03678333333333,https://arxiv.org/abs/1510.08869,True,False,0
XTE J1550-564,XTEJ1550-564|XTE J1550-564,BH,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.,https://arxiv.org/abs/1510.08869,,VERIFIED_PHASE1_PRODUCTS,True,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Inherited secure evidence; NuSTAR identity independently audited.,xte_j1550_564,237.74458333333337,-56.476444444444446,https://arxiv.org/abs/1510.08869,True,False,0
XTE J1859+226,XTEJ1859+226|XTE J1859+226|XTE_J1859p226,BH,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.,https://arxiv.org/abs/1510.08869,90701305002,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,xte_j1859_226,284.67325,22.658166666666663,https://arxiv.org/abs/1510.08869,True,False,1
1A 1742-289,1A 1742-289,NS,MINBAR direct evidence: 3 catalogue bursts; type=TBR; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1976MNRAS.177P..83L,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,1a_1742_289,266.40494,-29.01796,https://burst.sci.monash.edu/sources,True,False,0
1A 1742-294,1A 1742-294,NS,MINBAR direct evidence: 794 catalogue bursts; type=B; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1976MNRAS.177P..83L,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,1a_1742_294,266.52167,-29.514805,https://burst.sci.monash.edu/sources,True,False,0
1A 1744-361,1A1744-361|1A 1744-361|A1744-361|A1744-36|X1744-361|1A_1744m361,NS,"MINBAR source catalog: type TA?BDR, 4 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv.",https://burst.sci.monash.edu/sources,90801312001,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,1a_1744_361,267.05478,-36.132507,https://burst.sci.monash.edu/sources,True,False,1
1RXS J180408.9-342058,1RXS J180408.9-342058|1RXSJ180408d9m342058|1RXS_J180408d9m342058,NS,MINBAR direct evidence: 1 catalogue bursts; type=BT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2012ATel.4050....1C,80001040002|80001040004|90101003002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,1rxs_j180408_9_342058,271.03488,-34.347607,https://burst.sci.monash.edu/sources,True,False,3
2S 0918-549,2S 0918-549,NS,MINBAR direct evidence: 7 catalogue bursts; type=BC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2001ApJ...553..335J,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,2s_0918_549,140.1103,-55.2068,https://burst.sci.monash.edu/sources,True,False,0
2S 1711-339,2S 1711-339,NS,MINBAR direct evidence: 21 catalogue bursts; type=TB; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2002A&A...392..885C,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,2s_1711_339,258.58243,-34.04647,https://burst.sci.monash.edu/sources,True,False,0
2S 1803-245,2S 1803-245,NS,MINBAR direct evidence: 3 catalogue bursts; type=TBAR; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1998IAUC.6867....2M,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,2s_1803_245,271.71133,-24.591278,https://burst.sci.monash.edu/sources,True,False,0
4U 0513-40,4U 0513-40,NS,MINBAR direct evidence: 35 catalogue bursts; type=BGC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1976ApJ...207L.177F,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,4u_0513_40,78.527,-40.04411,https://burst.sci.monash.edu/sources,True,True,0
4U 0614+09,4U0614+091|4U 0614+09|4U_0614p09|4U_0614p091,NS,"MINBAR source catalog: type ABRSC, 2 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,30363002002|30702009006|30702009010,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PILOT_CLEAN_EVENTS_PRODUCTS_PENDING_NOT_QUALITY_ACCEPTED,Inherited secure evidence; NuSTAR identity independently audited.,4u_0614_09,94.28062,9.137067,https://burst.sci.monash.edu/sources,True,False,3
4U 0836-429,4U 0836-429,NS,MINBAR direct evidence: 82 catalogue bursts; type=BT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1990IAUC.5139....1M,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,4u_0836_429,129.34833,-42.900555,https://burst.sci.monash.edu/sources,True,False,0
4U 1246-588,4U 1246-588,NS,MINBAR direct evidence: 4 catalogue bursts; type=BC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1997IAUC.6538....2P,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,4u_1246_588,192.41402,-59.08741,https://burst.sci.monash.edu/sources,True,False,0
4U 1254-69,4U1254-690|4U 1254-69|4U_1254m69,NS,"MINBAR source catalog: type BDS, 34 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,,VERIFIED_PHASE1_PRODUCTS,True,MATCHED_NOT_ELIGIBLE,NOT_IN_INITIAL_PROCESSING_CENSUS,Inherited secure evidence; NuSTAR identity independently audited.,4u_1254_69,194.4048,-69.28917,https://burst.sci.monash.edu/sources,True,False,0
4U 1323-62,4U 1323-62|4U_1323m62,NS,MINBAR direct evidence: 99 catalogue bursts; type=BD; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1984IAUC.3961....1V,31001021002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,4u_1323_62,201.65129,-62.13608,https://burst.sci.monash.edu/sources,True,False,1
4U 1608-522,4U1608-52|4U 1608-522|4U1608m52|4U_1608m52,NS,"MINBAR source catalog: type ABOST, 145 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,80401321001|80401321002|90002002002,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,4u_1608_522,243.1792,-52.42306,https://burst.sci.monash.edu/sources,True,False,3
4U 1636-536,4U1636-53|4U 1636-536|4U1636m53|4U_1636m53|4U_1636m536,NS,"MINBAR source catalog: type ABOS, 664 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,30101024002|30102014002|30102014004|30102014006|30401014002,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,4u_1636_536,250.23154,-53.751446,https://burst.sci.monash.edu/sources,True,False,5
4U 1702-429,4U1702-429|4U 1702-429,NS,"MINBAR source catalog: type ABO, 284 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,,VERIFIED_PHASE1_PRODUCTS,True,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Inherited secure evidence; NuSTAR identity independently audited.,4u_1702_429,256.5638,-43.035748,https://burst.sci.monash.edu/sources,True,False,0
4U 1705-32,4U 1705-32,NS,MINBAR direct evidence: 1 catalogue bursts; type=BC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2005A&A...440..287I,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,4u_1705_32,257.22614,-32.332535,https://burst.sci.monash.edu/sources,True,False,0
4U 1705-44,4U1705-44|4U 1705-44|4U_1705m44,NS,"MINBAR source catalog: type BAR, 267 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,30101025002,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,4u_1705_44,257.22696,-44.102043,https://burst.sci.monash.edu/sources,True,False,1
4U 1722-30,4U 1722-30,NS,MINBAR direct evidence: 97 catalogue bursts; type=GBAC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1977ApJ...212L..73S,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,4u_1722_30,261.88702,-30.802307,https://burst.sci.monash.edu/sources,True,True,0
4U 1728-34,4U1728-34|4U 1728-34|4U1728m34|4U_1728m34,NS,"MINBAR source catalog: type ABORC, 1173 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,30401020002|30401020004|30401020006|30401020008|30401020010|30401020012|80001012002|80001012004|90501312002,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,4u_1728_34,262.99033,-33.833763,https://burst.sci.monash.edu/sources,True,False,9
4U 1735-444,4U1735-44|4U 1735-444|4U_1735m44,NS,"MINBAR source catalog: type ABR?S, 71 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,30363003002|31001011002,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,4u_1735_444,264.7429,-44.45,https://burst.sci.monash.edu/sources,True,False,2
4U 1746-37,4U1746-371|4U 1746-37|4U_1746m37,NS,"MINBAR source catalog: type ABDG, 37 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,30363004002,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,4u_1746_37,267.55304,-37.051815,https://burst.sci.monash.edu/sources,True,False,1
4U 1812-12,4U 1812-12|4U_1812m12,NS,MINBAR direct evidence: 25 catalogue bursts; type=BAC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1983PASJ...35..531M,31101029002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,4u_1812_12,273.77563,-12.096306,https://burst.sci.monash.edu/sources,True,False,1
4U 1820-303,4U 1820-303|4U_1820m303,NS,MINBAR direct evidence: 67 catalogue bursts; type=ABGRSC; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1975IAUC.2879....1G,,NOT_AUDITED,False,MATCHED_NOT_ELIGIBLE,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,4u_1820_303,275.91876,-30.361135,https://burst.sci.monash.edu/sources,True,True,0
4U 1850-086,4U 1850-086,NS,MINBAR direct evidence: 4 catalogue bursts; type=GBAR?C; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1980ApJ...240L..27H,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,4u_1850_086,283.27032,-8.705544,https://burst.sci.monash.edu/sources,True,True,0
AX J1754.2-2754,AX J1754.2-2754,NS,MINBAR direct evidence: 2 catalogue bursts; type=B; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/2007ATel.1094....1C,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader MINBAR census outside Phase I.,ax_j1754_2_2754,268.56042,-27.90989,https://burst.sci.monash.edu/sources,True,False,0
AX J1824.5-2451,AX J1824.5-2451,NS,MINBAR direct evidence: 1 catalogue bursts; type=GB; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1997ApJ...490L.161G,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,ax_j1824_5_2451,276.125,-24.85,https://burst.sci.monash.edu/sources,True,True,0
Aql X-1,AQLX1|Aql X-1,NS,"MINBAR source catalog: type ABDIORT, 96 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,80001034003|80001043002|90202033002,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,aql_x_1,287.81686,0.584958,https://burst.sci.monash.edu/sources,True,False,3
Cir X-1,Cir X-1|Cir_X1|Circinus_X1,NS,MINBAR direct evidence: 14 catalogue bursts; type=ABDMRT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1986MNRAS.219..871T,30401013002|30602026004|30902037004|31102015004|31102015006,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,cir_x_1,230.1703,-57.16674,https://burst.sci.monash.edu/sources,True,False,5
Cyg X-2,CYGX-2|Cyg X-2|Cyg_X2,NS,"MINBAR source catalog: type BZR, 70 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,11001313004|11001313006|11001313008|11001313013|11001313014|30001141002|80511301002|80511301004,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,cyg_x_2,326.17145,38.321415,https://burst.sci.monash.edu/sources,True,False,8
EXO 0748-676,EXO 0748-676|EXO_0748m676,NS,MINBAR direct evidence: 357 catalogue bursts; type=BDEOT; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1985IAUC.4039....1P,30801026002|91001324001|91001324002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Broader MINBAR census outside Phase I.,exo_0748_676,117.14042,-67.7522,https://burst.sci.monash.edu/sources,True,False,3
EXO 1745-248,EXO 1745-248,NS,MINBAR direct evidence: 25 catalogue bursts; type=BDGST; P denotes pulsar. Secure neutron-star evidence.,https://burst.sci.monash.edu/sources | https://ui.adsabs.harvard.edu/abs/1981ApJ...247L..23M,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,MINBAR discovery; cluster-marked fields require object-level contamination audit.,exo_1745_248,267.0218,-24.779924,https://burst.sci.monash.edu/sources,True,True,0
