file,column,description,units_if_explicit
S1_selected_obsids.csv,selection_method,Frozen method used to select observations,
S1_selected_obsids.csv,inspection_sample,Recorded inspection-sample designation,
S1_source_aliases.csv,alias,Alternative catalogue name for the physical system,
S1_source_aliases.csv,source_id,Canonical physical-source grouping identifier,
S1_source_aliases.csv,alias_reference,Evidence reference for the alias mapping,
S1_source_aliases.csv,status,Recorded processing/review status,
S1_source_aliases.csv,notes,Retained explanatory annotation; not an inferred measurement,
S1_source_registry.csv,source_id,Canonical physical-source grouping identifier,
S1_source_registry.csv,canonical_source_name,Human-readable canonical source name,
S1_source_registry.csv,class_label,Adopted physical compact-object class; reference registries may also contain unresolved labels,
S1_source_registry.csv,class_label_text,Original descriptive physical-class assignment,
S1_source_registry.csv,classification_status,Physical-class review disposition,
S1_source_registry.csv,classification_reference,Reference supporting the class assignment,
S1_source_registry.csv,classification_evidence,Physical evidence supporting the compact-object class,
S1_source_registry.csv,identity_reference,Reference supporting the source identity,
S1_source_registry.csv,included_in_trusted_cohort,Whether the reviewed identity/label is admitted to the trusted roster,
S1_source_registry.csv,confidence_status,Recorded confidence annotation for identity/class evidence,
S1_source_registry.csv,notes,Retained explanatory annotation; not an inferred measurement,
S2_identity_predictions.csv,obs_id,Observation identifier as retained by this table,
S2_identity_predictions.csv,source_id,Canonical physical-source grouping identifier,
S2_identity_predictions.csv,predicted_source_id,Predicted identity in the separate multiclass source-identification diagnostic,
S2_identity_predictions.csv,correct,Recorded correctness indicator for the named prediction,
S2_learning_curve.csv,seed,Recorded pseudorandom seed,
S2_learning_curve.csv,fold,Outer fold identifier,
S2_learning_curve.csv,training_sources,Number of independent physical training sources,
S2_learning_curve.csv,training_sources_per_class,Training-source count per physical class in the learning-curve diagnostic,
S2_learning_curve.csv,test_sources,Number of independent physical test sources,
S2_learning_curve.csv,training_source_ids,Retained list of training-source grouping identifiers,
S2_learning_curve.csv,AUROC,Area under the receiver operating characteristic curve,dimensionless
S2_learning_curve.csv,balanced_accuracy,Mean class recall at the frozen threshold,dimensionless
S2_learning_curve.csv,MCC,Matthews correlation coefficient at the frozen threshold,dimensionless
S2_learning_curve.csv,F1,NS-class harmonic mean of precision and recall,dimensionless
S2_learning_curve.csv,precision,NS-class precision at the frozen threshold,dimensionless
S2_learning_curve.csv,recall,NS-class recall at the frozen threshold,dimensionless
S2_learning_curve.csv,PR_AUC,Average precision (not trapezoidal area under a precision-recall curve),dimensionless
S2_learning_curve.csv,Brier,Mean squared error of the NS probability score,dimensionless
S2_learning_curve.csv,accuracy,Fraction correctly classified at the frozen threshold,dimensionless
S2_primary_metrics.csv,model,Estimator name from the frozen run,
S2_primary_metrics.csv,split,"Outer evaluation design: observation-wise, source-grouped or LOSO",
S2_primary_metrics.csv,analysis,Named analysis or diagnostic,
S2_primary_metrics.csv,unit,Declared analysis/aggregation unit for the row; not necessarily a physical unit,
S2_primary_metrics.csv,sources,Distinct physical-source count within the named row/category,
S2_primary_metrics.csv,observations,Observation count within the named row/category,
S2_primary_metrics.csv,AUROC,Area under the receiver operating characteristic curve,dimensionless
S2_primary_metrics.csv,balanced_accuracy,Mean class recall at the frozen threshold,dimensionless
S2_primary_metrics.csv,MCC,Matthews correlation coefficient at the frozen threshold,dimensionless
S2_primary_metrics.csv,F1,NS-class harmonic mean of precision and recall,dimensionless
S2_primary_metrics.csv,precision,NS-class precision at the frozen threshold,dimensionless
S2_primary_metrics.csv,recall,NS-class recall at the frozen threshold,dimensionless
S2_primary_metrics.csv,PR_AUC,Average precision (not trapezoidal area under a precision-recall curve),dimensionless
S2_primary_metrics.csv,Brier,Mean squared error of the NS probability score,dimensionless
S2_primary_metrics.csv,accuracy,Fraction correctly classified at the frozen threshold,dimensionless
S2_primary_metrics.csv,AUROC_lower,Stored lower conditional source-bootstrap bound for area under the receiver operating characteristic curve,
S2_primary_metrics.csv,AUROC_upper,Stored upper conditional source-bootstrap bound for area under the receiver operating characteristic curve,
S2_primary_metrics.csv,balanced_accuracy_lower,Stored lower conditional source-bootstrap bound for mean class recall at the frozen threshold,
S2_primary_metrics.csv,balanced_accuracy_upper,Stored upper conditional source-bootstrap bound for mean class recall at the frozen threshold,
S2_primary_metrics.csv,MCC_lower,Stored lower conditional source-bootstrap bound for matthews correlation coefficient at the frozen threshold,
S2_primary_metrics.csv,MCC_upper,Stored upper conditional source-bootstrap bound for matthews correlation coefficient at the frozen threshold,
S2_primary_metrics.csv,F1_lower,Stored lower conditional source-bootstrap bound for ns-class harmonic mean of precision and recall,
S2_primary_metrics.csv,F1_upper,Stored upper conditional source-bootstrap bound for ns-class harmonic mean of precision and recall,
S2_primary_metrics.csv,precision_lower,Stored lower conditional source-bootstrap bound for ns-class precision at the frozen threshold,
S2_primary_metrics.csv,precision_upper,Stored upper conditional source-bootstrap bound for ns-class precision at the frozen threshold,
S2_primary_metrics.csv,recall_lower,Stored lower conditional source-bootstrap bound for ns-class recall at the frozen threshold,
S2_primary_metrics.csv,recall_upper,Stored upper conditional source-bootstrap bound for ns-class recall at the frozen threshold,
S2_primary_metrics.csv,PR_AUC_lower,Stored lower conditional source-bootstrap bound for average precision (not trapezoidal area under a precision-recall curve),
S2_primary_metrics.csv,PR_AUC_upper,Stored upper conditional source-bootstrap bound for average precision (not trapezoidal area under a precision-recall curve),
S2_primary_metrics.csv,Brier_lower,Stored lower conditional source-bootstrap bound for mean squared error of the ns probability score,
S2_primary_metrics.csv,Brier_upper,Stored upper conditional source-bootstrap bound for mean squared error of the ns probability score,
S2_primary_metrics.csv,accuracy_lower,Stored lower conditional source-bootstrap bound for fraction correctly classified at the frozen threshold,
S2_primary_metrics.csv,accuracy_upper,Stored upper conditional source-bootstrap bound for fraction correctly classified at the frozen threshold,
S2_primary_paired_differences.csv,model,Estimator name from the frozen run,
S2_primary_paired_differences.csv,metric,Name of the measured quantity; use the metric definitions in this dictionary,
S2_primary_paired_differences.csv,delta,Stored paired difference; subtraction direction is given by the table/analysis,
S2_primary_paired_differences.csv,lower,Stored lower interval bound for the named quantity; interpret with the row analysis,
S2_primary_paired_differences.csv,upper,Stored upper interval bound for the named quantity; interpret with the row analysis,
S2_primary_randomization.csv,permutation_seed,Seed of the source-label permutation,
S2_primary_randomization.csv,model,Estimator name from the frozen run,
S2_primary_randomization.csv,split,"Outer evaluation design: observation-wise, source-grouped or LOSO",
S2_primary_randomization.csv,AUROC,Area under the receiver operating characteristic curve,dimensionless
S2_primary_randomization.csv,balanced_accuracy,Mean class recall at the frozen threshold,dimensionless
S2_primary_randomization.csv,MCC,Matthews correlation coefficient at the frozen threshold,dimensionless
S2_primary_randomization.csv,F1,NS-class harmonic mean of precision and recall,dimensionless
S2_primary_randomization.csv,precision,NS-class precision at the frozen threshold,dimensionless
S2_primary_randomization.csv,recall,NS-class recall at the frozen threshold,dimensionless
S2_primary_randomization.csv,PR_AUC,Average precision (not trapezoidal area under a precision-recall curve),dimensionless
S2_primary_randomization.csv,Brier,Mean squared error of the NS probability score,dimensionless
S2_primary_randomization.csv,accuracy,Fraction correctly classified at the frozen threshold,dimensionless
S2_primary_robustness.csv,model,Estimator name from the frozen run,
S2_primary_robustness.csv,split,"Outer evaluation design: observation-wise, source-grouped or LOSO",
S2_primary_robustness.csv,analysis,Named analysis or diagnostic,
S2_primary_robustness.csv,unit,Declared analysis/aggregation unit for the row; not necessarily a physical unit,
S2_primary_robustness.csv,sources,Distinct physical-source count within the named row/category,
S2_primary_robustness.csv,observations,Observation count within the named row/category,
S2_primary_robustness.csv,AUROC,Area under the receiver operating characteristic curve,dimensionless
S2_primary_robustness.csv,balanced_accuracy,Mean class recall at the frozen threshold,dimensionless
S2_primary_robustness.csv,MCC,Matthews correlation coefficient at the frozen threshold,dimensionless
S2_primary_robustness.csv,F1,NS-class harmonic mean of precision and recall,dimensionless
S2_primary_robustness.csv,precision,NS-class precision at the frozen threshold,dimensionless
S2_primary_robustness.csv,recall,NS-class recall at the frozen threshold,dimensionless
S2_primary_robustness.csv,PR_AUC,Average precision (not trapezoidal area under a precision-recall curve),dimensionless
S2_primary_robustness.csv,Brier,Mean squared error of the NS probability score,dimensionless
S2_primary_robustness.csv,accuracy,Fraction correctly classified at the frozen threshold,dimensionless
S2_primary_robustness.csv,AUROC_lower,Stored lower conditional source-bootstrap bound for area under the receiver operating characteristic curve,
S2_primary_robustness.csv,AUROC_upper,Stored upper conditional source-bootstrap bound for area under the receiver operating characteristic curve,
S2_primary_robustness.csv,balanced_accuracy_lower,Stored lower conditional source-bootstrap bound for mean class recall at the frozen threshold,
S2_primary_robustness.csv,balanced_accuracy_upper,Stored upper conditional source-bootstrap bound for mean class recall at the frozen threshold,
S2_primary_robustness.csv,MCC_lower,Stored lower conditional source-bootstrap bound for matthews correlation coefficient at the frozen threshold,
S2_primary_robustness.csv,MCC_upper,Stored upper conditional source-bootstrap bound for matthews correlation coefficient at the frozen threshold,
S2_primary_robustness.csv,F1_lower,Stored lower conditional source-bootstrap bound for ns-class harmonic mean of precision and recall,
S2_primary_robustness.csv,F1_upper,Stored upper conditional source-bootstrap bound for ns-class harmonic mean of precision and recall,
S2_primary_robustness.csv,precision_lower,Stored lower conditional source-bootstrap bound for ns-class precision at the frozen threshold,
S2_primary_robustness.csv,precision_upper,Stored upper conditional source-bootstrap bound for ns-class precision at the frozen threshold,
S2_primary_robustness.csv,recall_lower,Stored lower conditional source-bootstrap bound for ns-class recall at the frozen threshold,
S2_primary_robustness.csv,recall_upper,Stored upper conditional source-bootstrap bound for ns-class recall at the frozen threshold,
S2_primary_robustness.csv,PR_AUC_lower,Stored lower conditional source-bootstrap bound for average precision (not trapezoidal area under a precision-recall curve),
S2_primary_robustness.csv,PR_AUC_upper,Stored upper conditional source-bootstrap bound for average precision (not trapezoidal area under a precision-recall curve),
S2_primary_robustness.csv,Brier_lower,Stored lower conditional source-bootstrap bound for mean squared error of the ns probability score,
S2_primary_robustness.csv,Brier_upper,Stored upper conditional source-bootstrap bound for mean squared error of the ns probability score,
S2_primary_robustness.csv,accuracy_lower,Stored lower conditional source-bootstrap bound for fraction correctly classified at the frozen threshold,
S2_primary_robustness.csv,accuracy_upper,Stored upper conditional source-bootstrap bound for fraction correctly classified at the frozen threshold,
S3_EXPANDED_SOURCE_forest_grouped.csv,source_id,Canonical physical-source grouping identifier,
S3_EXPANDED_SOURCE_forest_grouped.csv,source_name,Human-readable physical-source name,
S3_EXPANDED_SOURCE_forest_grouped.csv,true_class,Reference BH/NS class for evaluation,
S3_EXPANDED_SOURCE_forest_grouped.csv,n_observations,Number of observations contributing to this row,
S3_EXPANDED_SOURCE_forest_grouped.csv,p_NS,Mean-log-odds pooled source NS score; see main Methods,dimensionless
S3_EXPANDED_SOURCE_forest_grouped.csv,mean_probability,Arithmetic mean of observation NS probabilities; not the pooled source score,dimensionless
S3_EXPANDED_SOURCE_forest_grouped.csv,std_probability,Standard deviation of observation NS probabilities within a source; not an uncertainty interval,dimensionless
S3_EXPANDED_SOURCE_forest_grouped.csv,minimum_probability,Smallest observation NS probability within the source,dimensionless
S3_EXPANDED_SOURCE_forest_grouped.csv,maximum_probability,Largest observation NS probability within the source,dimensionless
S3_EXPANDED_SOURCE_forest_grouped.csv,fraction_correct,Fraction of observations correctly classified within the source,dimensionless
S3_EXPANDED_SOURCE_forest_grouped.csv,mean_signed_probability_error,Mean signed probability error relative to the recorded binary NS target,
S3_EXPANDED_SOURCE_forest_loso.csv,source_id,Canonical physical-source grouping identifier,
S3_EXPANDED_SOURCE_forest_loso.csv,source_name,Human-readable physical-source name,
S3_EXPANDED_SOURCE_forest_loso.csv,true_class,Reference BH/NS class for evaluation,
S3_EXPANDED_SOURCE_forest_loso.csv,n_observations,Number of observations contributing to this row,
S3_EXPANDED_SOURCE_forest_loso.csv,p_NS,Mean-log-odds pooled source NS score; see main Methods,dimensionless
S3_EXPANDED_SOURCE_forest_loso.csv,mean_probability,Arithmetic mean of observation NS probabilities; not the pooled source score,dimensionless
S3_EXPANDED_SOURCE_forest_loso.csv,std_probability,Standard deviation of observation NS probabilities within a source; not an uncertainty interval,dimensionless
S3_EXPANDED_SOURCE_forest_loso.csv,minimum_probability,Smallest observation NS probability within the source,dimensionless
S3_EXPANDED_SOURCE_forest_loso.csv,maximum_probability,Largest observation NS probability within the source,dimensionless
S3_EXPANDED_SOURCE_forest_loso.csv,fraction_correct,Fraction of observations correctly classified within the source,dimensionless
S3_EXPANDED_SOURCE_forest_loso.csv,mean_signed_probability_error,Mean signed probability error relative to the recorded binary NS target,
S3_EXPANDED_SOURCE_logistic_grouped.csv,source_id,Canonical physical-source grouping identifier,
S3_EXPANDED_SOURCE_logistic_grouped.csv,source_name,Human-readable physical-source name,
S3_EXPANDED_SOURCE_logistic_grouped.csv,true_class,Reference BH/NS class for evaluation,
S3_EXPANDED_SOURCE_logistic_grouped.csv,n_observations,Number of observations contributing to this row,
S3_EXPANDED_SOURCE_logistic_grouped.csv,p_NS,Mean-log-odds pooled source NS score; see main Methods,dimensionless
S3_EXPANDED_SOURCE_logistic_grouped.csv,mean_probability,Arithmetic mean of observation NS probabilities; not the pooled source score,dimensionless
S3_EXPANDED_SOURCE_logistic_grouped.csv,std_probability,Standard deviation of observation NS probabilities within a source; not an uncertainty interval,dimensionless
S3_EXPANDED_SOURCE_logistic_grouped.csv,minimum_probability,Smallest observation NS probability within the source,dimensionless
S3_EXPANDED_SOURCE_logistic_grouped.csv,maximum_probability,Largest observation NS probability within the source,dimensionless
S3_EXPANDED_SOURCE_logistic_grouped.csv,fraction_correct,Fraction of observations correctly classified within the source,dimensionless
S3_EXPANDED_SOURCE_logistic_grouped.csv,mean_signed_probability_error,Mean signed probability error relative to the recorded binary NS target,
S3_EXPANDED_SOURCE_logistic_loso.csv,source_id,Canonical physical-source grouping identifier,
S3_EXPANDED_SOURCE_logistic_loso.csv,source_name,Human-readable physical-source name,
S3_EXPANDED_SOURCE_logistic_loso.csv,true_class,Reference BH/NS class for evaluation,
S3_EXPANDED_SOURCE_logistic_loso.csv,n_observations,Number of observations contributing to this row,
S3_EXPANDED_SOURCE_logistic_loso.csv,p_NS,Mean-log-odds pooled source NS score; see main Methods,dimensionless
S3_EXPANDED_SOURCE_logistic_loso.csv,mean_probability,Arithmetic mean of observation NS probabilities; not the pooled source score,dimensionless
S3_EXPANDED_SOURCE_logistic_loso.csv,std_probability,Standard deviation of observation NS probabilities within a source; not an uncertainty interval,dimensionless
S3_EXPANDED_SOURCE_logistic_loso.csv,minimum_probability,Smallest observation NS probability within the source,dimensionless
S3_EXPANDED_SOURCE_logistic_loso.csv,maximum_probability,Largest observation NS probability within the source,dimensionless
S3_EXPANDED_SOURCE_logistic_loso.csv,fraction_correct,Fraction of observations correctly classified within the source,dimensionless
S3_EXPANDED_SOURCE_logistic_loso.csv,mean_signed_probability_error,Mean signed probability error relative to the recorded binary NS target,
S3_HEASOFT_MATCHED_forest_grouped.csv,source_id,Canonical physical-source grouping identifier,
S3_HEASOFT_MATCHED_forest_grouped.csv,source_name,Human-readable physical-source name,
S3_HEASOFT_MATCHED_forest_grouped.csv,true_class,Reference BH/NS class for evaluation,
S3_HEASOFT_MATCHED_forest_grouped.csv,n_observations,Number of observations contributing to this row,
S3_HEASOFT_MATCHED_forest_grouped.csv,p_NS,Mean-log-odds pooled source NS score; see main Methods,dimensionless
S3_HEASOFT_MATCHED_forest_grouped.csv,mean_probability,Arithmetic mean of observation NS probabilities; not the pooled source score,dimensionless
S3_HEASOFT_MATCHED_forest_grouped.csv,std_probability,Standard deviation of observation NS probabilities within a source; not an uncertainty interval,dimensionless
S3_HEASOFT_MATCHED_forest_grouped.csv,minimum_probability,Smallest observation NS probability within the source,dimensionless
S3_HEASOFT_MATCHED_forest_grouped.csv,maximum_probability,Largest observation NS probability within the source,dimensionless
S3_HEASOFT_MATCHED_forest_grouped.csv,fraction_correct,Fraction of observations correctly classified within the source,dimensionless
S3_HEASOFT_MATCHED_forest_grouped.csv,mean_signed_probability_error,Mean signed probability error relative to the recorded binary NS target,
S3_HEASOFT_MATCHED_forest_loso.csv,source_id,Canonical physical-source grouping identifier,
S3_HEASOFT_MATCHED_forest_loso.csv,source_name,Human-readable physical-source name,
S3_HEASOFT_MATCHED_forest_loso.csv,true_class,Reference BH/NS class for evaluation,
S3_HEASOFT_MATCHED_forest_loso.csv,n_observations,Number of observations contributing to this row,
S3_HEASOFT_MATCHED_forest_loso.csv,p_NS,Mean-log-odds pooled source NS score; see main Methods,dimensionless
S3_HEASOFT_MATCHED_forest_loso.csv,mean_probability,Arithmetic mean of observation NS probabilities; not the pooled source score,dimensionless
S3_HEASOFT_MATCHED_forest_loso.csv,std_probability,Standard deviation of observation NS probabilities within a source; not an uncertainty interval,dimensionless
S3_HEASOFT_MATCHED_forest_loso.csv,minimum_probability,Smallest observation NS probability within the source,dimensionless
S3_HEASOFT_MATCHED_forest_loso.csv,maximum_probability,Largest observation NS probability within the source,dimensionless
S3_HEASOFT_MATCHED_forest_loso.csv,fraction_correct,Fraction of observations correctly classified within the source,dimensionless
S3_HEASOFT_MATCHED_forest_loso.csv,mean_signed_probability_error,Mean signed probability error relative to the recorded binary NS target,
S3_HEASOFT_MATCHED_logistic_grouped.csv,source_id,Canonical physical-source grouping identifier,
S3_HEASOFT_MATCHED_logistic_grouped.csv,source_name,Human-readable physical-source name,
S3_HEASOFT_MATCHED_logistic_grouped.csv,true_class,Reference BH/NS class for evaluation,
S3_HEASOFT_MATCHED_logistic_grouped.csv,n_observations,Number of observations contributing to this row,
S3_HEASOFT_MATCHED_logistic_grouped.csv,p_NS,Mean-log-odds pooled source NS score; see main Methods,dimensionless
S3_HEASOFT_MATCHED_logistic_grouped.csv,mean_probability,Arithmetic mean of observation NS probabilities; not the pooled source score,dimensionless
S3_HEASOFT_MATCHED_logistic_grouped.csv,std_probability,Standard deviation of observation NS probabilities within a source; not an uncertainty interval,dimensionless
S3_HEASOFT_MATCHED_logistic_grouped.csv,minimum_probability,Smallest observation NS probability within the source,dimensionless
S3_HEASOFT_MATCHED_logistic_grouped.csv,maximum_probability,Largest observation NS probability within the source,dimensionless
S3_HEASOFT_MATCHED_logistic_grouped.csv,fraction_correct,Fraction of observations correctly classified within the source,dimensionless
S3_HEASOFT_MATCHED_logistic_grouped.csv,mean_signed_probability_error,Mean signed probability error relative to the recorded binary NS target,
S3_HEASOFT_MATCHED_logistic_loso.csv,source_id,Canonical physical-source grouping identifier,
S3_HEASOFT_MATCHED_logistic_loso.csv,source_name,Human-readable physical-source name,
S3_HEASOFT_MATCHED_logistic_loso.csv,true_class,Reference BH/NS class for evaluation,
S3_HEASOFT_MATCHED_logistic_loso.csv,n_observations,Number of observations contributing to this row,
S3_HEASOFT_MATCHED_logistic_loso.csv,p_NS,Mean-log-odds pooled source NS score; see main Methods,dimensionless
S3_HEASOFT_MATCHED_logistic_loso.csv,mean_probability,Arithmetic mean of observation NS probabilities; not the pooled source score,dimensionless
S3_HEASOFT_MATCHED_logistic_loso.csv,std_probability,Standard deviation of observation NS probabilities within a source; not an uncertainty interval,dimensionless
S3_HEASOFT_MATCHED_logistic_loso.csv,minimum_probability,Smallest observation NS probability within the source,dimensionless
S3_HEASOFT_MATCHED_logistic_loso.csv,maximum_probability,Largest observation NS probability within the source,dimensionless
S3_HEASOFT_MATCHED_logistic_loso.csv,fraction_correct,Fraction of observations correctly classified within the source,dimensionless
S3_HEASOFT_MATCHED_logistic_loso.csv,mean_signed_probability_error,Mean signed probability error relative to the recorded binary NS target,
S3_HEASOFT_VALIDATION_forest_grouped.csv,source_id,Canonical physical-source grouping identifier,
S3_HEASOFT_VALIDATION_forest_grouped.csv,source_name,Human-readable physical-source name,
S3_HEASOFT_VALIDATION_forest_grouped.csv,true_class,Reference BH/NS class for evaluation,
S3_HEASOFT_VALIDATION_forest_grouped.csv,n_observations,Number of observations contributing to this row,
S3_HEASOFT_VALIDATION_forest_grouped.csv,p_NS,Mean-log-odds pooled source NS score; see main Methods,dimensionless
S3_HEASOFT_VALIDATION_forest_grouped.csv,mean_probability,Arithmetic mean of observation NS probabilities; not the pooled source score,dimensionless
S3_HEASOFT_VALIDATION_forest_grouped.csv,std_probability,Standard deviation of observation NS probabilities within a source; not an uncertainty interval,dimensionless
S3_HEASOFT_VALIDATION_forest_grouped.csv,minimum_probability,Smallest observation NS probability within the source,dimensionless
S3_HEASOFT_VALIDATION_forest_grouped.csv,maximum_probability,Largest observation NS probability within the source,dimensionless
S3_HEASOFT_VALIDATION_forest_grouped.csv,fraction_correct,Fraction of observations correctly classified within the source,dimensionless
S3_HEASOFT_VALIDATION_forest_grouped.csv,mean_signed_probability_error,Mean signed probability error relative to the recorded binary NS target,
S3_HEASOFT_VALIDATION_forest_loso.csv,source_id,Canonical physical-source grouping identifier,
S3_HEASOFT_VALIDATION_forest_loso.csv,source_name,Human-readable physical-source name,
S3_HEASOFT_VALIDATION_forest_loso.csv,true_class,Reference BH/NS class for evaluation,
S3_HEASOFT_VALIDATION_forest_loso.csv,n_observations,Number of observations contributing to this row,
S3_HEASOFT_VALIDATION_forest_loso.csv,p_NS,Mean-log-odds pooled source NS score; see main Methods,dimensionless
S3_HEASOFT_VALIDATION_forest_loso.csv,mean_probability,Arithmetic mean of observation NS probabilities; not the pooled source score,dimensionless
S3_HEASOFT_VALIDATION_forest_loso.csv,std_probability,Standard deviation of observation NS probabilities within a source; not an uncertainty interval,dimensionless
S3_HEASOFT_VALIDATION_forest_loso.csv,minimum_probability,Smallest observation NS probability within the source,dimensionless
S3_HEASOFT_VALIDATION_forest_loso.csv,maximum_probability,Largest observation NS probability within the source,dimensionless
S3_HEASOFT_VALIDATION_forest_loso.csv,fraction_correct,Fraction of observations correctly classified within the source,dimensionless
S3_HEASOFT_VALIDATION_forest_loso.csv,mean_signed_probability_error,Mean signed probability error relative to the recorded binary NS target,
S3_HEASOFT_VALIDATION_logistic_grouped.csv,source_id,Canonical physical-source grouping identifier,
S3_HEASOFT_VALIDATION_logistic_grouped.csv,source_name,Human-readable physical-source name,
S3_HEASOFT_VALIDATION_logistic_grouped.csv,true_class,Reference BH/NS class for evaluation,
S3_HEASOFT_VALIDATION_logistic_grouped.csv,n_observations,Number of observations contributing to this row,
S3_HEASOFT_VALIDATION_logistic_grouped.csv,p_NS,Mean-log-odds pooled source NS score; see main Methods,dimensionless
S3_HEASOFT_VALIDATION_logistic_grouped.csv,mean_probability,Arithmetic mean of observation NS probabilities; not the pooled source score,dimensionless
S3_HEASOFT_VALIDATION_logistic_grouped.csv,std_probability,Standard deviation of observation NS probabilities within a source; not an uncertainty interval,dimensionless
S3_HEASOFT_VALIDATION_logistic_grouped.csv,minimum_probability,Smallest observation NS probability within the source,dimensionless
S3_HEASOFT_VALIDATION_logistic_grouped.csv,maximum_probability,Largest observation NS probability within the source,dimensionless
S3_HEASOFT_VALIDATION_logistic_grouped.csv,fraction_correct,Fraction of observations correctly classified within the source,dimensionless
S3_HEASOFT_VALIDATION_logistic_grouped.csv,mean_signed_probability_error,Mean signed probability error relative to the recorded binary NS target,
S3_HEASOFT_VALIDATION_logistic_loso.csv,source_id,Canonical physical-source grouping identifier,
S3_HEASOFT_VALIDATION_logistic_loso.csv,source_name,Human-readable physical-source name,
S3_HEASOFT_VALIDATION_logistic_loso.csv,true_class,Reference BH/NS class for evaluation,
S3_HEASOFT_VALIDATION_logistic_loso.csv,n_observations,Number of observations contributing to this row,
S3_HEASOFT_VALIDATION_logistic_loso.csv,p_NS,Mean-log-odds pooled source NS score; see main Methods,dimensionless
S3_HEASOFT_VALIDATION_logistic_loso.csv,mean_probability,Arithmetic mean of observation NS probabilities; not the pooled source score,dimensionless
S3_HEASOFT_VALIDATION_logistic_loso.csv,std_probability,Standard deviation of observation NS probabilities within a source; not an uncertainty interval,dimensionless
S3_HEASOFT_VALIDATION_logistic_loso.csv,minimum_probability,Smallest observation NS probability within the source,dimensionless
S3_HEASOFT_VALIDATION_logistic_loso.csv,maximum_probability,Largest observation NS probability within the source,dimensionless
S3_HEASOFT_VALIDATION_logistic_loso.csv,fraction_correct,Fraction of observations correctly classified within the source,dimensionless
S3_HEASOFT_VALIDATION_logistic_loso.csv,mean_signed_probability_error,Mean signed probability error relative to the recorded binary NS target,
